Name,Location,Kms_driven,Fuel_type,Owner,Year,Price
Chevrolet Beat LT,Bangalore,55000,Petrol,0,2010,175000
Tata Hexa XM,Madurai,60000,Diesel,0,2018,1200000
Toyota Corolla H5,Chennai,80000,Petrol,0,2006,170000
Maruti Suzuki Wagon,Chennai,36000,Petrol,0,2014,360000
Hyundai Xcent 1.2,Chennai,95000,Diesel,2,2016,299000
Ford Figo 1.5,Chennai,88000,Diesel,2,2010,176000
Maruti Suzuki Wagon,Chennai,60000,Petrol,1,2014,325000
Maruti Suzuki S,Pune,29115,Diesel,2,2017,985299
Maruti Suzuki Baleno,Pune,34763,Petrol,2,2017,642899
Maruti Suzuki Ciaz,Chennai,12500,Diesel,2,2015,740000
Maruti Suzuki Baleno,Pune,85000,Petrol,0,2017,610000
Hyundai Grand i10,Pune,40000,Petrol,0,2016,495000
Hyundai Verna 1.6,Pune,71000,Petrol,0,2014,510000
Maruti Suzuki Baleno,Pune,44000,Petrol,0,2017,560000
Toyota Innova 2.0,Pune,124000,Diesel,0,2009,455000
Maruti Suzuki Wagon,Pune,78000,CNG,0,2012,350000
Renault Kwid CLIMBER,Bangalore,44696,Petrol,1,2017,463099
Maruti Suzuki Alto,Pune,33004,Petrol,2,2018,350599
Hyundai Verna Fluidic,Chennai,46034,Petrol,1,2016,636299
Hyundai Grand i10,Chennai,60307,Petrol,1,2020,698199
Hyundai Grand i10,Chennai,8825,Petrol,1,2021,764199
Maruti Suzuki Celerio,Chennai,5743,Petrol,1,2019,524799
Ford EcoSport Ambiente,Chennai,87000,Diesel,1,2013,420000
Kia Seltos GTX,Bangalore,19500,Petrol,0,2020,1831000
Chevrolet Beat LS,Chennai,60000,Petrol,0,2010,210000
Volkswagen Vento Highline,Chennai,70000,Petrol,0,2013,465000
Audi Q7 35,Chennai,65000,Diesel,0,2017,2250000
Maruti Suzuki Ertiga,Chennai,35623,Petrol,0,2020,1090000
Toyota Innova ,Bangalore,160000,Petrol,0,2005,375000
Hyundai i20 Sportz,Chennai,98500,Petrol,0,2009,225000
Maruti Suzuki Eeco,Chennai,25735,Petrol,1,2019,493899
Hyundai Elite i20,Chennai,37522,Petrol,2,2019,825299
Maruti Suzuki Wagon,Chennai,38955,Petrol,1,2018,495499
Datsun Redi GO,Chennai,40664,Petrol,1,2017,0
Hyundai Eon Era,Chennai,65308,Petrol,1,2014,277599
Maruti Suzuki Wagon,Chennai,30467,Petrol,1,2017,473899
Hyundai Venue S,Chennai,1954,Petrol,1,2019,855299
Hyundai Santro 1.1,Chennai,35220,Petrol,1,2019,540299
Hyundai Elite i20,Chennai,75876,Petrol,1,2016,642899
Maruti Suzuki Alto,Chennai,27020,Petrol,1,2021,442299
Renault Triber 1.0,Chennai,13739,Petrol,1,2019,725399
Maruti Suzuki Wagon,Chennai,21544,Petrol,1,2019,558299
Maruti Suzuki Alto,Chennai,13816,Petrol,1,2016,354299
Hyundai Elite i20,Chennai,23817,Petrol,1,2016,673599
Hyundai Grand i10,Chennai,60985,Petrol,1,2017,525099
Hyundai Verna SX,Chennai,80000,Diesel,0,2012,525000
Volkswagen Polo Comfortline,Chennai,30123,Petrol,0,2018,675000
Renault Kwid RXT,Chennai,67000,Petrol,0,2016,325000
Renault Triber RXT,Chennai,26123,Petrol,0,2020,645000
Maruti Suzuki Ertiga,Chennai,60123,Petrol,0,2017,785000
Mahindra TUV300 T8,Chennai,52123,Diesel,0,2016,690000
Maruti Suzuki Celerio,Chennai,11123,Petrol,0,2018,425000
