Name,Location,Kms_driven,Fuel_type,Owner,Year,Price
Fiat Linea Emotion,Chennai,75000,Diesel,0,2009,200000
Honda City VX,Chennai,20379,Petrol,1,2020,1377199
Renault Duster 110,Pune,14000,Diesel,0,2020,1025000
Maruti Suzuki Wagon,Pune,55000,Petrol,0,2013,350000
Ford EcoSport Trend,Chennai,83000,Diesel,0,2017,650000
Toyota Etios V,Bangalore,89559,Petrol,2,2012,449699
Toyota Glanza ,Pune,10801,Petrol,2,2020,757999
Renault Kwid ,Bangalore,50599,Petrol,2,2018,462299
Hyundai i20 Magna,Pune,64182,Petrol,1,2010,278299
Hyundai Grand i10,Chennai,22609,Petrol,2,2018,584599
Ford Ecosport ,Pune,24680,Petrol,2,2017,811899
Hyundai Creta 1.6,Bangalore,56000,Diesel,0,2017,1245000
Hyundai Elite i20,Pune,31172,Petrol,2,2019,740899
Ford Figo Aspire,Pune,29632,Petrol,2,2017,481399
Hyundai Elite i20,Chennai,41233,Petrol,0,2019,645000
Maruti Suzuki Swift,Pune,21610,Petrol,2,2014,489399
Ford Ecosport ,Pune,23049,Petrol,2,2017,704099
Maruti Suzuki Wagon,Pune,26150,Petrol,2,2017,408999
Mahindra Bolero SLE,Kolkata,62000,Petrol,0,2015,0
Maruti Suzuki Baleno,Pune,44000,Petrol,0,2017,560000
Hyundai i10 Asta,Pune,58000,Petrol,0,2011,280000
Maruti Suzuki Alto,Pune,11917,Petrol,2,2017,333699
Honda Amaze ,Bangalore,8030,Petrol,2,2021,918999
Honda Jazz ,Bangalore,16108,Petrol,2,2016,752399
Maruti Suzuki Baleno,Chennai,50154,Petrol,2,2016,646299
Maruti Suzuki Baleno,Pune,28361,Petrol,1,2016,608399
Maruti Suzuki XL6,Bangalore,22292,Petrol,2,2019,1244799
Mahindra XUV 500,NaviMumbai,87500,Diesel,0,2012,450000
Hyundai Creta 1.6,Pune,59258,Petrol,2,2015,879199
Ford Ecosport ,Pune,51780,Petrol,2,2019,1042799
Maruti Suzuki Celerio,Bangalore,35109,Petrol,2,2016,429599
Maruti Suzuki Swift,Chennai,58000,Petrol,0,2015,490000
Maruti Suzuki Dzire,Chennai,93563,Diesel,2,2017,650699
Tata Hexa XM,Madurai,60000,Diesel,0,2018,1200000
Renault Scala RxZ,Bangalore,79200,Diesel,0,2013,385000
Maruti Suzuki Ertiga,Bangalore,5580,Petrol,2,2020,997899
Maruti Suzuki Eeco,Chennai,34258,Petrol,2,2018,422899
BMW 3 Series,Chennai,81000,Diesel,0,2010,890000
Maruti Suzuki Swift,Bangalore,57338,Petrol,1,2014,451399
Maruti Suzuki Swift,Pune,54352,Petrol,2,2014,447599
Maruti Suzuki Alto,Chennai,16563,Petrol,2,2018,314999
Maruti Suzuki S,Chennai,4889,Petrol,2,2021,514599
